SOURCE_VALUE,SOURCE_CONCEPT_ID,MAPPED_STANDARD_CONCEPT_ID,MAPPED_STANDARD_CONCEPT_NAME,MAPPED_STANDARD_VOCABULARY_ID,MAPPED_STANDARD_CONCEPT_CODE,MAPPED_STANDARD_CONCEPT_FLAG,TOTAL_ROWS
4548-4,3004410,3004410,Hemoglobin A1c/Hemoglobin.total in Blood,LOINC,4548-4,S,1227037
2571-8,3022192,3022192,Triglyceride [Mass/volume] in Serum or Plasma,LOINC,2571-8,S,1189476
27353-2,3005131,3005131,Glucose mean value [Mass/volume] in Blood Estimated from glycated hemoglobin,LOINC,27353-2,S,1172369
2093-3,3027114,3027114,Cholesterol [Mass/volume] in Serum or Plasma,LOINC,2093-3,S,1126482
2085-9,3007070,3007070,Cholesterol in HDL [Mass/volume] in Serum or Plasma,LOINC,2085-9,S,1119046
2089-1,3028437,3028437,Cholesterol in LDL [Mass/volume] in Serum or Plasma,LOINC,2089-1,S,1117954
2708-6,3016502,3016502,Oxygen saturation in Arterial blood,LOINC,2708-6,S,1084358
5821-4,3035583,3035583,Leukocytes [#/area] in Urine sediment by Microscopy high power field,LOINC,5821-4,S,1082557
20116-0,3017594,3017594,Tidal volume.spontaneous --on ventilator,LOINC,20116-0,S,1076179
774-0,3027920,3027920,Ovalocytes [Presence] in Blood by Light microscopy,LOINC,774-0,S,1062917
14118-4,3020138,3020138,Lactate [Mass/volume] in Serum or Plasma,LOINC,14118-4,S,1062676
2711-0,3024928,3024928,Oxygen saturation in Venous blood,LOINC,2711-0,S,1060403
13945-1,3035124,3035124,Erythrocytes [#/area] in Urine sediment by Microscopy high power field,LOINC,13945-1,S,1053002
11555-0,3012501,3012501,Base excess in Blood by calculation,LOINC,11555-0,S,1022710
98979-8,1619025,1619025,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI 2021)",LOINC,98979-8,S,994699
50561-0,3029872,3029872,Protein [Mass/volume] in Urine by Automated test strip,LOINC,50561-0,S,989190
32717-1,3043706,3043706,Sodium [Moles/volume] in Arterial blood,LOINC,32717-1,S,987999
5803-2,3022621,3022621,pH of Urine by Test strip,LOINC,5803-2,S,974012
8440-0,3005606,3005606,Pulmonary artery Systolic blood pressure,LOINC,8440-0,S,970518
8385-7,3017188,3017188,Pulmonary artery Diastolic blood pressure,LOINC,8385-7,S,970512
5799-2,3000348,3000348,Leukocyte esterase [Presence] in Urine by Test strip,LOINC,5799-2,S,968250
5802-4,3021601,3021601,Nitrite [Presence] in Urine by Test strip,LOINC,5802-4,S,968194
8414-5,3028074,3028074,Pulmonary artery Mean blood pressure,LOINC,8414-5,S,968134
2713-6,3011367,3011367,Oxygen saturation Calculated from oxygen partial pressure in Blood,LOINC,2713-6,S,960122
60829-9,36304439,36304439,Pressure.plateau Respiratory system airway,LOINC,60829-9,S,956809
50984-4,3029943,3029943,Horowitz index in Arterial blood,LOINC,50984-4,S,943258
60828-1,21490583,21490583,Compliance.static Lung,LOINC,60828-1,S,939384
32693-4,3047181,3047181,Lactate [Moles/volume] in Blood,LOINC,32693-4,S,939368
49701-6,3030091,3030091,pH of Blood adjusted to patient's actual temperature,LOINC,49701-6,S,935018
34705-4,3033203,3033203,Carbon dioxide [Partial pressure] adjusted to patient's actual temperature in Blood,LOINC,34705-4,S,934846
1959-6,3006576,3006576,Bicarbonate [Moles/volume] in Blood,LOINC,1959-6,S,933938
702-1,3026314,3026314,Anisocytosis [Presence] in Blood by Light microscopy,LOINC,702-1,S,926054
50560-2,3029305,3029305,pH of Urine by Automated test strip,LOINC,50560-2,S,912549
45390-2,3046731,3046731,Epithelial cells.squamous [#/area] in Urine sediment by Microscopy low power field,LOINC,45390-2,S,908143
20509-6,3027484,3027484,Hemoglobin [Mass/volume] in Blood by calculation,LOINC,20509-6,S,906854
60026-2,40763086,40763086,Leukocyte esterase [Presence] in Urine by Automated test strip,LOINC,60026-2,S,902046
50558-6,3030758,3030758,Nitrite [Presence] in Urine by Automated test strip,LOINC,50558-6,S,901969
8741-1,3005555,3005555,Left ventricular Cardiac output,LOINC,8741-1,S,898147
5804-0,3005897,3005897,Protein [Mass/volume] in Urine by Test strip,LOINC,5804-0,S,893100
1994-3,3021119,3021119,Calcium.ionized [Moles/volume] in Blood,LOINC,1994-3,S,880663
75919-1,21490712,21490712,Left ventricular Cardiac index,LOINC,75919-1,S,871274
76528-9,1175625,1175625,Breath rate spontaneous,LOINC,76528-9,S,870700
14775-1,3006239,3006239,Hemoglobin [Mass/volume] in Arterial blood by Oximetry,LOINC,14775-1,S,861549
41651-1,3031266,3031266,Glucose [Mass/volume] in Arterial blood,LOINC,41651-1,S,860494
2339-0,3000483,3000483,Glucose [Mass/volume] in Blood,LOINC,2339-0,S,854556
32713-0,3043409,3043409,Potassium [Moles/volume] in Arterial blood,LOINC,32713-0,S,854458
99712-2,1989533,1989533,Dialysate flow rate Renal replacement therapy circuit,LOINC,99712-2,S,828498
99711-4,1988610,1988610,Blood flow rate Renal replacement therapy circuit,LOINC,99711-4,S,824994
99717-1,1989079,1989079,Access pressure Renal replacement therapy circuit,LOINC,99717-1,S,820654
99719-7,1989498,1989498,Filter pressure Renal replacement therapy circuit,LOINC,99719-7,S,819371
99718-9,1988101,1988101,Effluent pressure Renal replacement therapy circuit,LOINC,99718-9,S,818644
99721-3,1988071,1988071,Return pressure Renal replacement therapy circuit,LOINC,99721-3,S,816284
10378-8,3011987,3011987,Polychromasia [Presence] in Blood by Light microscopy,LOINC,10378-8,S,802591
