ANCESTOR_CONCEPT_ID,ANCESTOR_CONCEPT_NAME,ANCESTOR_DOMAIN_ID,ANCESTOR_VOCABULARY_ID,ANCESTOR_CONCEPT_CLASS_ID,ANCESTOR_STANDARD_CONCEPT,ANCESTOR_CONCEPT_CODE,DESCENDANT_CONCEPTS_PRESENT,TOTAL_ROWS,DISTINCT_PERSONS,FIRST_DATE,LAST_DATE
2615319,"Foot pressure off loading/supportive device, any type, each",Device,HCPCS,HCPCS,S,A9283,1,558,537,2010-07-26,2025-05-14
2720047,"Additions to lower extremity, total contact, above knee or knee disarticulation socket",Device,HCPCS,HCPCS,S,L5650,1,545,334,2010-03-03,2026-02-16
2720048,"Addition to lower extremity, above knee, flexible inner socket, external frame",Device,HCPCS,HCPCS,S,L5651,1,540,325,2010-03-22,2026-02-16
2719576,"Hip orthosis, abduction control of hip joint, postoperative hip abduction type, prefabricated, includes fitting and adjustment",Device,HCPCS,HCPCS,S,L1686,1,535,462,2009-12-11,2026-02-03
2720141,"Addition, endoskeletal system, above knee, ultra-light material (titanium, carbon fiber or equal)",Device,HCPCS,HCPCS,S,L5950,1,533,324,2010-03-03,2026-02-16
2720026,"Addition to lower extremity, test socket, above knee",Device,HCPCS,HCPCS,S,L5624,1,533,325,2010-03-03,2026-02-16
2720031,"Addition to lower extremity, above knee or knee disarticulation, acrylic socket",Device,HCPCS,HCPCS,S,L5631,1,533,327,2010-03-03,2026-02-16
2720046,"Addition to lower extremity, ischial containment/narrow m-l socket",Device,HCPCS,HCPCS,S,L5649,1,531,323,2010-03-03,2026-02-16
710134,"Gallium ga-68 gozetotide, diagnostic, (locametz), 1 millicurie",Device,HCPCS,HCPCS,S,A9800,1,511,439,2022-09-07,2026-01-23
2720137,"Addition, endoskeletal system, above knee or hip disarticulation, alignable system",Device,HCPCS,HCPCS,S,L5920,1,499,309,2010-03-03,2026-02-12
2719789,"Lift, elevation, heel and sole, neoprene, per inch",Device,HCPCS,HCPCS,S,L3310,1,496,348,2010-02-17,2025-11-19
4117589,Cardiovascular equipment,Device,SNOMED,Physical Object,S,303476002,17,494,486,1989-10-10,2024-04-29
